uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,publicationDate,release
0904be12-3834-4bcf-946d-bf84960278a9,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],5,Y,CARW,Thryothorus ludovicianus,species,Carolina Wren,61,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
04ac4d14-ed0f-4ba8-b944-e979bfcac2eb,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],1,Y,SCTA,Piranga olivacea,species,Scarlet Tanager,17,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
2c787c9f-b12a-4c55-bc8d-6abf44586ec9,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],1,Y,OVEN,Seiurus aurocapilla,species,Ovenbird,32,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
70e01d75-e636-4b2f-9d66-eb1a2c2b57d4,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],1,Y,AMCR,Corvus brachyrhynchos,species,American Crow,142,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
47333f14-c4ec-4fe5-8f6f-cf68af2cafc8,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],6,Y,RBWO,Melanerpes carolinus,species,Red-bellied Woodpecker,75,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
880afd3d-34d4-457e-85ce-b8eb4587f3c5,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],2,Y,HOWA,Setophaga citrina,species,Hooded Warbler,33,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
08e4b088-ca89-4159-99fc-b1269fb6b0ff,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],1,Y,WOTH,Hylocichla mustelina,species,Wood Thrush,31,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
4f9f8b62-ef14-46ae-ba46-bc5a8bcd3dac,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],88,Y,WITU,Meleagris gallopavo,species,Wild Turkey,NA,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
393efc09-f8d5-4a81-97f2-8aa9bdb6108a,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],1,Y,ACFL,Empidonax virescens,species,Acadian Flycatcher,21,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
1662966c-51fd-47ff-bb3c-ae83654c3837,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,2018-05-15T10:20:00Z,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],4,Y,EAWP,Contopus virens,species,Eastern Wood-Pewee,42,singing,No,Unknown,1,NA,TBELL,20201223T142007Z,RELEASE-2021
