uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy,publicationDate,release
abf1e94c-6a18-4099-81a7-d5e9f52efe4b,SERC_010.basePlot.brd,D02,SERC,SERC_010,distributed,21,deciduousForest,38.909676,-76.546253,WGS84,20.2,25.4,0.2,2018-05-15T10:20:00Z,NA,NA,SERC_010.21.2018-05-15T06:20-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,27,1,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
03a01a28-c27f-4d0b-8dfd-9a95b14bc53f,SERC_018.basePlot.brd,D02,SERC,SERC_018,distributed,21,cultivatedCrops,38.872927,-76.531608,WGS84,20.1,6.6,0.1,2018-05-15T10:53:00Z,NA,NA,SERC_018.21.2018-05-15T06:53-04:00[US/Eastern],100,0,86,87,agriculture/rural,23,4,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
2eec11e6-6749-420f-832b-891e9c82266d,SERC_017.basePlot.brd,D02,SERC,SERC_017,distributed,21,deciduousForest,38.876039,-76.535565,WGS84,20.2,4.4,0.2,2018-05-15T11:20:00Z,NA,NA,SERC_017.21.2018-05-15T07:20-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,23,2,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
c0aba953-75f5-4af7-9ec4-093535c25ed5,SERC_014.basePlot.brd,D02,SERC,SERC_014,distributed,21,deciduousForest,38.875995,-76.541096,WGS84,20.1,2.1,0.2,2018-05-15T11:55:00Z,NA,NA,SERC_014.21.2018-05-15T07:55-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,24,5,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
f9079b01-f71d-4c44-bf55-d0a086903b07,SERC_007.basePlot.brd,D02,SERC,SERC_007,distributed,21,cultivatedCrops,38.873795,-76.539828,WGS84,20.1,4.1,0.1,2018-05-15T12:03:00Z,NA,NA,SERC_007.21.2018-05-15T08:03-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,22,2,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
bc205ef0-c5ab-4855-8396-afd8a3945954,SERC_019.basePlot.brd,D02,SERC,SERC_019,distributed,21,deciduousForest,38.871775,-76.550692,WGS84,20.1,17,0.2,2018-05-15T12:25:00Z,NA,NA,SERC_019.21.2018-05-15T08:25-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,22,1,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
66ee8019-d42a-4475-a9b4-f714d6d942c9,SERC_012.basePlot.brd,D02,SERC,SERC_012,distributed,21,deciduousForest,38.878648,-76.560977,WGS84,20.3,24.5,0.3,2018-05-15T12:50:00Z,NA,NA,SERC_012.21.2018-05-15T08:50-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,22,3,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
cd258823-dccd-44db-8da0-fb5f268e5652,SERC_068.basePlot.brd,D02,SERC,SERC_068,distributed,21,deciduousForest,38.88011,-76.556735,WGS84,20.2,22.8,0.3,2018-05-15T13:11:00Z,NA,NA,SERC_068.21.2018-05-15T09:11-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,24,3,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
5f08623d-e1a7-4439-bb19-106a14eca096,SERC_009.basePlot.brd,D02,SERC,SERC_009,distributed,21,deciduousForest,38.897571,-76.561169,WGS84,20.2,17.1,0.2,2018-05-15T13:37:00Z,NA,NA,SERC_009.21.2018-05-15T09:37-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,25,1,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
7e1f1860-75bc-4f3e-96da-e741e044aba5,SERC_002.basePlot.brd,D02,SERC,SERC_002,distributed,21,deciduousForest,38.895036,-76.558917,WGS84,20.1,6.9,0.1,2018-05-15T14:02:00Z,NA,NA,SERC_002.21.2018-05-15T10:02-04:00[US/Eastern],100,0,86,87,mixed deciduous/evergreen forest,23,1,Bird Conservancy of the Rockies,NEON.DOC.014041vJ,NA,TBELL,20201223T142007Z,RELEASE-2021
