siteID,date,alpha
NOGP,2018-07-12,45
NOGP,2018-07-13,37
NOGP,2018-07-14,28
NOGP,2019-07-02,38
NOGP,2019-07-03,34
NOGP,2019-07-04,47
NOGP,2019-07-06,47
NOGP,2019-07-07,35
SERC,2018-05-15,54
SERC,2018-05-16,40
SERC,2018-05-23,38
SERC,2018-05-24,44
SERC,2018-05-25,26
SERC,2018-05-29,28
SERC,2019-05-06,14
SERC,2019-05-15,46
SERC,2019-05-16,51
SERC,2019-05-17,41
SERC,2019-05-20,53
SERC,2019-05-22,35
STER,2018-05-20,22
STER,2018-05-21,11
STER,2019-05-31,16
STER,2019-06-01,14
UKFS,2018-06-04,29
UKFS,2018-06-05,27
UKFS,2018-06-06,43
UKFS,2019-06-17,33
UKFS,2019-06-18,33
UKFS,2019-06-19,37
UKFS,2019-06-24,36
