siteID,date,total_birds
NOGP,2018-07-12,486
NOGP,2018-07-13,331
NOGP,2018-07-14,100
NOGP,2019-07-02,271
NOGP,2019-07-03,127
NOGP,2019-07-04,218
NOGP,2019-07-06,267
NOGP,2019-07-07,202
SERC,2018-05-15,288
SERC,2018-05-16,152
SERC,2018-05-23,111
SERC,2018-05-24,215
SERC,2018-05-25,42
SERC,2018-05-29,57
SERC,2019-05-06,16
SERC,2019-05-15,166
SERC,2019-05-16,137
SERC,2019-05-17,201
SERC,2019-05-20,234
SERC,2019-05-22,90
STER,2018-05-20,325
STER,2018-05-21,50
STER,2019-05-31,135
STER,2019-06-01,141
UKFS,2018-06-04,182
UKFS,2018-06-05,215
UKFS,2018-06-06,283
UKFS,2019-06-17,224
UKFS,2019-06-18,190
UKFS,2019-06-19,201
UKFS,2019-06-24,161
